"","uf","cod_municipio","cod_municipio_tse"
"1","RO","1100015","00310"
"2","RO","1100023","00078"
"3","RO","1100031","00450"
"4","RO","1100049","00094"
"5","RO","1100056","00272"
"6","RO","1100064","00230"
"7","RO","1100072","00655"
"8","RO","1100080","00213"
"9","RO","1100098","00256"
"10","RO","1100106","00019"
"11","RO","1100114","00159"
"12","RO","1100122","00051"
"13","RO","1100130","00396"
"14","RO","1100148","00370"
"15","RO","1100155","00175"
"16","RO","1100189","00116"
"17","RO","1100205","00035"
"18","RO","1100254","00191"
"19","RO","1100262","00647"
"20","RO","1100288","00299"
"21","RO","1100296","00353"
"22","RO","1100304","00132"
"23","RO","1100320","00418"
"24","RO","1100338","00434"
"25","RO","1100346","00337"
"26","RO","1100379","00736"
"27","RO","1100403","00639"
"28","RO","1100452","00779"
"29","RO","1100502","00515"
"30","RO","1100601","00620"
"31","RO","1100700","00671"
"32","RO","1100809","00477"
"33","RO","1100908","00531"
"34","RO","1100924","00809"
"35","RO","1100940","00680"
"36","RO","1101005","00612"
"37","RO","1101104","00493"
"38","RO","1101203","00604"
"39","RO","1101302","00574"
"40","RO","1101401","00663"
"41","RO","1101435","00744"
"42","RO","1101450","00701"
"43","RO","1101468","00787"
"44","RO","1101476","00728"
"45","RO","1101484","00710"
"46","RO","1101492","00795"
"47","RO","1101500","00582"
"48","RO","1101559","00752"
"49","RO","1101609","00590"
"50","RO","1101708","00566"
"51","RO","1101757","00698"
"52","RO","1101807","00558"
"53","AC","1200013","01120"
"54","AC","1200054","01570"
"55","AC","1200104","01058"
"56","AC","1200138","01007"
"57","AC","1200179","01015"
"58","AC","1200203","01074"
"59","AC","1200252","01112"
"60","AC","1200302","01139"
"61","AC","1200328","01104"
"62","AC","1200336","01090"
"63","AC","1200344","01554"
"64","AC","1200351","01040"
"65","AC","1200385","01511"
"66","AC","1200393","01066"
"67","AC","1200401","01392"
"68","AC","1200427","01082"
"69","AC","1200435","01031"
"70","AC","1200450","01538"
"71","AC","1200500","01457"
"72","AC","1200609","01473"
"73","AC","1200708","01490"
"74","AC","1200807","01023"
"75","AM","1300029","02895"
"76","AM","1300060","02917"
"77","AM","1300086","02933"
"78","AM","1300102","02038"
"79","AM","1300144","02003"
"80","AM","1300201","02054"
"81","AM","1300300","02070"
"82","AM","1300409","02097"
"83","AM","1300508","02119"
"84","AM","1300607","02135"
"85","AM","1300631","02950"
"86","AM","1300680","02976"
"87","AM","1300706","02151"
"88","AM","1300805","02178"
"89","AM","1300839","02992"
"90","AM","1300904","02194"
"91","AM","1301001","02216"
"92","AM","1301100","02232"
"93","AM","1301159","02046"
"94","AM","1301209","02259"
"95","AM","1301308","02275"
"96","AM","1301407","02291"
"97","AM","1301506","02313"
"98","AM","1301605","02330"
"99","AM","1301654","02020"
"100","AM","1301704","02356"
"101","AM","1301803","02399"
"102","AM","1301852","98353"
"103","AM","1301902","02410"
"104","AM","1301951","98370"
"105","AM","1302009","02437"
"106","AM","1302108","02453"
"107","AM","1302207","02470"
"108","AM","1302306","02496"
"109","AM","1302405","02518"
"110","AM","1302504","02534"
"111","AM","1302553","98396"
"112","AM","1302603","02550"
"113","AM","1302702","02577"
"114","AM","1302801","02593"
"115","AM","1302900","02615"
"116","AM","1303007","02631"
"117","AM","1303106","02658"
"118","AM","1303205","02011"
"119","AM","1303304","02674"
"120","AM","1303403","02690"
"121","AM","1303502","02712"
"122","AM","1303536","98418"
"123","AM","1303569","98434"
"124","AM","1303601","02372"
"125","AM","1303700","02739"
"126","AM","1303809","02836"
"127","AM","1303908","02755"
"128","AM","1303957","98450"
"129","AM","1304005","02771"
"130","AM","1304062","98477"
"131","AM","1304104","02798"
"132","AM","1304203","02810"
"133","AM","1304237","98515"
"134","AM","1304260","98493"
"135","AM","1304302","02852"
"136","AM","1304401","02879"
"137","RR","1400027","03042"
"138","RR","1400050","03050"
"139","RR","1400100","03018"
"140","RR","1400159","03077"
"141","RR","1400175","03069"
"142","RR","1400209","03034"
"143","RR","1400233","03000"
"144","RR","1400282","03026"
"145","RR","1400308","03093"
"146","RR","1400407","03115"
"147","RR","1400456","03123"
"148","RR","1400472","03085"
"149","RR","1400506","03131"
"150","RR","1400605","03158"
"151","RR","1400704","03107"
"152","PA","1500107","04014"
"153","PA","1500131","04502"
"154","PA","1500206","04030"
"155","PA","1500305","04057"
"156","PA","1500347","04260"
"157","PA","1500404","04073"
"158","PA","1500503","04090"
"159","PA","1500602","04111"
"160","PA","1500701","04138"
"161","PA","1500800","04154"
"162","PA","1500859","04723"
"163","PA","1500909","04170"
"164","PA","1500958","04340"
"165","PA","1501006","04197"
"166","PA","1501105","04219"
"167","PA","1501204","04235"
"168","PA","1501253","04588"
"169","PA","1501303","04251"
"170","PA","1501402","04278"
"171","PA","1501451","04804"
"172","PA","1501501","04294"
"173","PA","1501576","04049"
"174","PA","1501600","04316"
"175","PA","1501709","04332"
"176","PA","1501725","04227"
"177","PA","1501758","05932"
"178","PA","1501782","04448"
"179","PA","1501808","04359"
"180","PA","1501907","04375"
"181","PA","1501956","04766"
"182","PA","1502004","04391"
"183","PA","1502103","04413"
"184","PA","1502152","04707"
"185","PA","1502202","04430"
"186","PA","1502301","04456"
"187","PA","1502400","04472"
"188","PA","1502509","04499"
"189","PA","1502608","04510"
"190","PA","1502707","04537"
"191","PA","1502756","05819"
"192","PA","1502764","04529"
"193","PA","1502772","05851"
"194","PA","1502806","04553"
"195","PA","1502855","04740"
"196","PA","1502905","04570"
"197","PA","1502939","05975"
"198","PA","1502954","04120"
"199","PA","1503002","04596"
"200","PA","1503044","04561"
"201","PA","1503077","05878"
"202","PA","1503093","04006"
"203","PA","1503101","04618"
"204","PA","1503200","04634"
"205","PA","1503309","04650"
"206","PA","1503408","04677"
"207","PA","1503457","04189"
"208","PA","1503507","04693"
"209","PA","1503606","04715"
"210","PA","1503705","04731"
"211","PA","1503754","04200"
"212","PA","1503804","04758"
"213","PA","1503903","04774"
"214","PA","1504000","04790"
"215","PA","1504059","04103"
"216","PA","1504109","04812"
"217","PA","1504208","04839"
"218","PA","1504307","04855"
"219","PA","1504406","04871"
"220","PA","1504422","04642"
"221","PA","1504455","05770"
"222","PA","1504505","04898"
"223","PA","1504604","04910"
"224","PA","1504703","04936"
"225","PA","1504752","04863"
"226","PA","1504802","04952"
"227","PA","1504901","04979"
"228","PA","1504950","04480"
"229","PA","1504976","04600"
"230","PA","1505007","04995"
"231","PA","1505031","04383"
"232","PA","1505064","04421"
"233","PA","1505106","05010"
"234","PA","1505205","05037"
"235","PA","1505304","05053"
"236","PA","1505403","05070"
"237","PA","1505437","05959"
"238","PA","1505486","05916"
"239","PA","1505494","04162"
